ref_id_side,route,count
23713850L,4203,2
23713850R,4203,5
23713920L,4201,22
23713920R,4201,16
23713996L,4203,5
23713996R,4203,7
23714000L,2202,4
23714000R,2202,5
23714001L,2202,5
23714001R,2202,5
23714027L,3203,4
23714027R,3203,3
23714028L,3202,3
23714029L,3202,7
23714029R,3202,3
23714119R,2203,3
23714120L,5201,1
23714120R,5201,1
23714121L,5201,1
23714121R,5201,2
23714122L,5201,1
23714122R,5201,1
23714123L,5201,3
23714123R,5201,3
23714124L,5201,5
23714124R,5201,4
23714157L,1203,5
23714157R,1203,2
23714158L,1203,1
23714158R,1203,1
23714187L,1202,9
23714187R,1202,9
23714188L,1202,8
23714188R,1202,8
23714189R,1202,1
23714217L,2202,4
23714217R,2202,4
23714218L,2202,3
23714218R,2202,4
23714219L,1203,5
23714219R,1203,3
23714220L,1203,4
23714220R,1203,5
23714305R,2203,2
23714322L,3203,9
23714322R,3203,11
23714324R,3203,2
23714338R,1202,1
23714354R,2201,3
23714355R,2203,1
23714356R,2203,11
23714360R,2203,12
23714496L,2202,1
23714496R,2202,3
23714522L,1201,5
23714522R,1201,3
23714555L,2201,14
23714555R,2201,11
23714793R,4202,2
23714794R,4202,3
23714977L,5201,5
23714977R,5201,6
23715135L,5203,3
23715135R,5203,6
23715155R,5202,10
23715156L,5202,4
23715156R,5202,3
23715181L,5201,6
23715181R,5201,11
23715202L,5202,2
23715202R,5202,7
23715229L,3202,10
23715229R,3202,4
23715230L,3202,5
23715354L,3203,4
23715354R,3203,1
23715415R,4202,1
23715533L,1202,3
23715533R,1202,4
23715538L,3202,3
23715539L,3202,5
23715541L,3202,3
23715543L,3202,2
23715543R,3203,1
23715544R,3203,5
23715545R,3203,1
23715547L,3202,1
23715550L,3203,9
23715550R,3203,8
23715553L,3203,9
23715553R,3203,18
23715654L,1202,21
23715654R,1202,23
23715818L,5203,2
23715842L,2201,7
23715842R,2201,7
23715843L,2201,13
23715843R,2201,14
23715844L,2201,4
23715845R,2201,4
23715846R,2201,4
23715847L,2203,8
23715847R,2203,10
23715848L,2203,4
23715911L,2202,15
23715911R,2202,21
23715914L,4202,4
23715914R,4202,4
23715915L,4202,2
23715916L,4202,2
23715916R,4202,10
23715917L,4202,3
23715917R,4202,3
23715919L,4201,2
23716068L,1201,7
23716068R,1201,2
23716069L,1201,6
23716069R,1201,4
23716070L,1201,3
23716366L,3201,11
23716366R,3201,11
23716375L,4203,13
23716375R,4203,15
23716376L,4203,4
23716376R,4203,4
23716563L,2202,4
23716563R,2202,4
23716571L,3202,1
23716571R,3202,3
23716573R,3202,3
23716578L,4203,5
23716578R,4203,6
23716579L,4203,12
23716579R,4203,11
23716580L,2202,2
23716581L,4203,7
23716581R,4203,6
23716582R,4203,9
23716583L,2202,2
23716583R,2202,1
23716584R,2202,2
23716585R,2202,1
23716604L,1203,4
23716604R,1203,4
23716605L,1203,4
23716605R,1203,4
23716608L,1203,2
23716609L,1203,1
23716610L,1201,3
23716610R,1201,4
23716611L,1201,1
23716611R,1201,2
23716612L,1201,2
23716612R,1201,4
23716615L,2202,6
23716619R,2202,1
23716621L,5201,2
23716621R,5201,1
23716622L,5201,14
23716622R,5201,25
23716627L,5202,12
23716627R,5202,16
23716820L,3201,9
23716820R,3201,9
23716827L,4202,11
23716827R,4202,18
23716828L,4202,7
23716828R,4202,6
23716851L,4202,13
23716851R,4202,13
23716876L,2203,2
23716876R,2203,3
23716877L,2203,2
23716877R,2203,5
23716878L,2203,2
23716878R,2203,3
23716879L,2203,13
23716879R,2203,13
