Id2,Population,MedHHInc,studio,bed1,bed2,bed3,bed4,bed5,med_age,Vacant,HH1,HH2,HH3,HH4,HH5,HH6,HH7,AvgHHSize,AvOwnHHsize,AvRenHHsize,TotalHH,OwnerHH,RenterHH,R100,R150,R199,R249,R299,R349,R399,R449,R499,R549,R599,R649,R699,R749,R799,R899,R999,R1249,R1499,R1999,R2499,R2999,R3499,R3500plus,White,AfAm,NatAm,Asian,Hawaiin,Other,Inter,Total_Bachelors,STEM,STEM_rel,Business,Education,Humanities,Total_HH,FamHH,NonFM,NoFamAloneHH,DetachUnit,AttachUnit,TwoUnits,Units_3_4,Units_5_9,Units_10_19,Units_20_49,Units_50plus,UnitMobile,Unit_Other,HouseYear
60855077011,1018,183750.0,0,9,0,192,116,43,42.7,0,36,130,51,143,0,0,0,2.83,2.68,3.27,1018,727,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,9,0,0,31,406,0,0,572,0,11,29,560,335,30,41,45,109,360,317,43,36,360,0,0,0,0,0,0,0,0,0,1958
60855077012,1700,168000.0,35,27,70,163,222,110,43.8,33,170,117,78,184,7,28,10,2.86,2.88,2.81,1700,1340,360,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,33,0,8,25,16,0,32,494,0,0,1172,0,0,34,889,577,35,117,0,160,594,406,188,170,528,71,8,11,0,0,0,9,0,0,1987
60855077013,1147,203333.0,0,17,21,102,236,67,48.3,25,64,137,106,86,25,0,0,2.74,2.64,3.21,1147,906,241,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,19,0,17,394,0,0,720,0,0,33,615,364,18,100,21,112,418,325,93,64,383,28,0,8,9,0,15,0,0,0,1965
60855077021,1907,167115.0,0,17,114,177,276,92,45.0,0,109,212,171,142,8,34,0,2.82,2.63,3.7,1907,1456,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,58,33,14,374,0,0,1484,0,17,32,1175,830,110,166,35,34,676,534,142,109,572,104,0,0,0,0,0,0,0,0,1965
60855077022,1694,167639.0,0,23,0,114,294,121,48.9,0,81,190,91,109,45,0,36,3.07,3.07,3.05,1694,1572,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,559,0,0,1079,0,0,56,1134,807,100,111,48,68,552,432,120,81,552,0,0,0,0,0,0,0,0,0,1966
60855077023,2808,209750.0,0,0,32,262,426,124,46.0,14,0,277,182,252,99,20,0,3.38,3.35,3.61,2808,2461,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1034,0,0,1723,0,0,51,1806,1256,90,237,56,167,830,783,47,0,789,55,0,0,0,0,0,0,0,0,1982
60855077031,1205,152500.0,0,14,50,152,184,24,40.2,54,50,76,27,182,35,0,0,3.26,3.32,3.09,1205,899,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,56,0,0,335,0,0,828,0,0,42,630,380,13,129,0,108,370,320,50,50,198,212,0,14,0,0,0,0,0,0,1978
60855077032,2126,124550.0,89,94,232,174,141,94,45.7,0,208,257,165,166,0,0,28,2.53,2.96,2.23,2083,1001,1082,0,0,0,0,0,0,0,95,48,0,15,0,0,0,0,0,0,13,11,32,149,70,20,33,1037,0,0,1075,0,3,11,1209,760,81,160,98,110,824,547,277,208,355,89,27,146,22,0,28,157,0,0,1966
60855077033,1998,181081.0,0,22,197,283,148,111,41.7,55,141,185,173,134,58,15,0,2.83,2.69,3.06,1998,1186,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,101,14,73,37,14,892,0,0,1008,0,0,98,959,659,45,113,14,128,706,565,141,141,503,134,77,47,0,0,0,0,0,0,1973
60855077034,1371,170855.0,0,0,74,229,21,51,53.6,0,41,86,123,104,21,0,0,3.08,3.2,2.61,1155,962,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,19,14,0,28,593,16,0,743,0,0,19,693,517,7,18,24,127,375,334,41,41,278,63,34,0,0,0,0,0,0,0,1969
60855077035,1322,165714.0,0,0,28,240,121,29,44.0,0,40,143,51,140,44,0,0,3.12,3.02,3.64,1303,1063,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,31,15,305,0,0,872,67,45,33,760,517,52,65,52,74,418,363,55,40,133,243,42,0,0,0,0,0,0,0,1976
60855078051,3426,125295.0,13,487,608,142,140,0,33.5,133,219,372,276,350,40,0,0,2.72,2.66,2.74,3414,954,2460,0,0,0,0,0,13,0,0,0,0,0,0,13,0,0,0,15,33,31,189,347,170,57,15,1117,139,0,1926,0,102,142,1616,1077,73,213,29,224,1257,939,318,219,262,62,59,293,367,152,0,195,0,0,1981
60855078052,1253,117143.0,0,135,214,129,32,0,37.3,14,170,92,111,90,16,17,0,2.53,3.11,2.23,1253,520,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,145,88,0,0,467,22,0,702,0,0,62,643,463,14,76,28,62,496,297,199,170,126,63,0,0,17,30,138,136,0,0,1976
60855078053,1294,170313.0,0,0,208,77,133,32,46.3,0,28,197,65,143,17,0,0,2.88,2.64,3.74,1294,935,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,16,50,343,0,0,875,0,76,0,611,501,32,17,0,61,450,407,43,28,292,141,17,0,0,0,0,0,0,0,1974
60855078061,906,227969.0,0,0,6,109,104,78,42.8,22,0,80,95,84,10,0,6,3.29,3.05,4.82,906,723,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,22,0,212,41,33,536,0,22,62,478,317,3,63,19,76,275,275,0,0,256,18,12,0,11,0,0,0,0,0,1966
60855078062,1843,135926.0,18,279,251,109,80,18,35.6,111,107,129,226,155,18,9,0,2.86,2.73,2.9,1843,437,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,65,85,132,102,79,302,0,0,1470,0,0,71,940,710,36,92,16,86,644,511,133,107,163,9,0,84,290,155,0,54,0,0,1975
