ref_id_side,route,count
23701267L,403X,6
23701267R,403X,2
23701358L,103X,11
23701358R,103X,9
23701359L,103X,10
23701359R,103X,6
23701367R,502X,2
23701368L,504X,9
23701368R,504X,7
23701412L,405X,4
23701412R,405X,5
23701413L,203X,4
23701413R,203X,4
23701414L,203X,5
23701414R,203X,8
23701415R,203X,1
23701538L,302X,4
23701538R,305X,3
23701539L,302X,4
23701539R,305X,3
23701541L,302X,5
23701541R,302X,3
23701542L,302X,6
23701542R,302X,3
23701543L,302X,3
23701543R,302X,3
23701544L,302X,5
23701544R,302X,3
23701545L,302X,5
23701545R,302X,3
23701546L,302X,4
23701546R,302X,3
23701567R,302X,3
23701568L,302X,1
23701568R,302X,3
23701569L,302X,8
23701569R,302X,9
23701848L,204X,7
23701848R,204X,8
23701857R,204X,1
23701858R,204X,1
23701859L,204X,1
23701859R,204X,4
23701860L,204X,2
23701860R,204X,5
23701861L,202X,11
23701861R,202X,10
23701862L,204X,2
23701862R,204X,4
23701863L,202X,2
23701863R,202X,2
23701864L,202X,12
23701864R,202X,15
23701865R,202X,4
23701866R,202X,3
23701999L,405X,1
23701999R,405X,1
23702029L,504X,2
23702029R,502X,2
23702030R,502X,1
23702031L,504X,1
23702031R,502X,1
23702032L,504X,1
23702032R,502X,1
23702033L,504X,6
23702033R,504X,5
23702037L,502X,3
23702037R,502X,3
23702038L,203X,4
23702046L,203X,9
23702046R,203X,5
23702047L,203X,9
23702047R,203X,9
23702231L,102X,14
23702231R,102X,12
23702279L,103X,6
23702279R,103X,2
23702281L,202X,3
23702281R,202X,6
23702361L,405X,3
23702361R,405X,2
23702467L,202X,2
23702467R,202X,1
23702468L,202X,4
23702469L,202X,3
23702470L,202X,3
23702497L,105X,22
23702497R,105X,24
23702539R,402X,3
23702540L,402X,3
23702540R,402X,3
23702542L,402X,10
23702542R,402X,10
23702678L,202X,3
23702678R,202X,4
23702680R,202X,2
23702694L,505X,7
23702694R,505X,5
23702769L,305X,1
23702809R,502X,4
23702810R,502X,3
23702887R,505X,9
23702948L,205X,8
23702948R,205X,8
23702949L,205X,18
23702949R,205X,18
23703061R,305X,4
23703062R,305X,3
23703063R,302X,4
23703064L,302X,4
23703064R,302X,8
23703065R,305X,3
23703066L,305X,4
